#REFERENCE LIST;ALGORITHM;P;PREFIX SIZE;RBO_SCORE
TOTALS;adapted_rad_dbo_onto;0.984130859375;80;0.5329070466661342
TOTALS;adapted_rad_dbo_onto;0.9872894287109375;100;0.5629128630931758
TOTALS;adapted_rad_dbo_onto;0.989410400390625;120;0.5870637010537538
TOTALS;adapted_rad_dbo_onto;0.9909210205078125;140;0.6071175214312684
TOTALS;adapted_rad_dbo_onto;0.9920501708984375;160;0.6242662190153756
TOTALS;adapted_rad_dbo_onto;0.9929351806640625;180;0.63943997575656
TOTALS;adapted_rad_dbo_onto;0.9936370849609375;200;0.6528779747185045
TOTALS;adapted_rad_dbo_onto;0.9942169189453125;220;0.665155972864265
TOTALS;adapted_rad_dbo_onto;0.9946975708007812;240;0.6763198547703325
TOTALS;adapted_rad_dbo_onto;0.9951019287109375;260;0.6865368671462639
TOTALS;adapted_rad_dbo_onto;0.995452880859375;280;0.6961178499038478
TOTALS;adapted_rad_dbo_onto;0.995758056640625;300;0.7050671597314054
TOTALS;adapted_rad_dbo_onto;0.9960212707519531;320;0.7133075572928118
TOTALS;adapted_rad_dbo_onto;0.9962539672851562;340;0.7210409735544736
TOTALS;adapted_rad_dbo_onto;0.9964637756347656;360;0.7284113420869402
TOTALS;adapted_rad_dbo_onto;0.9966506958007812;380;0.7353244646202935
TOTALS;adapted_rad_dbo_onto;0.9968166351318359;400;0.7417581259515299
TOTALS;adapted_rad_dbo_onto;0.9969673156738281;420;0.7478597912334016
TOTALS;adapted_rad_dbo_onto;0.9971046447753906;440;0.7536505775195121
TOTALS;adapted_rad_dbo_onto;0.9972305297851562;460;0.7591632170781706
TOTALS;adapted_rad_dbo_onto;0.9973468780517578;480;0.7644420261177937
TOTALS;adapted_rad_dbo_onto;0.9974517822265625;500;0.7693608967477702
TOTALS;pagerank_ranking_att_dbpedia;0.93719482421875;20;0.3177152300246221
TOTALS;pagerank_ranking_att_dbpedia;0.9683837890625;40;0.4265572215772887
TOTALS;pagerank_ranking_att_dbpedia;0.9788665771484375;60;0.4925136434637929
TOTALS;pagerank_ranking_att_dbpedia;0.984130859375;80;0.5378184530707546
TOTALS;pagerank_ranking_att_dbpedia;0.9872894287109375;100;0.5716766605164784
TOTALS;pagerank_ranking_att_dbpedia;0.989410400390625;120;0.5985954549427326
TOTALS;pagerank_ranking_att_dbpedia;0.9909210205078125;140;0.6204626461961991
TOTALS;pagerank_ranking_att_dbpedia;0.9920501708984375;160;0.6385313641334945
TOTALS;pagerank_ranking_att_dbpedia;0.9929351806640625;180;0.6537927996556887
TOTALS;pagerank_ranking_att_dbpedia;0.9936370849609375;200;0.6665640900249294
TOTALS;pagerank_ranking_att_dbpedia;0.9942169189453125;220;0.6775042862839722
TOTALS;pagerank_ranking_att_dbpedia;0.9946975708007812;240;0.6867759688616515
TOTALS;pagerank_ranking_att_dbpedia;0.9951019287109375;260;0.6946565121945081
TOTALS;pagerank_ranking_att_dbpedia;0.995452880859375;280;0.7014998001323736
TOTALS;pagerank_ranking_att_dbpedia;0.995758056640625;300;0.7074042933377777
TOTALS;pagerank_ranking_att_dbpedia;0.9960212707519531;320;0.7124220198284625
TOTALS;pagerank_ranking_att_dbpedia;0.9962539672851562;340;0.7167668919546661
TOTALS;pagerank_ranking_att_dbpedia;0.9964637756347656;360;0.7205829687081652
TOTALS;pagerank_ranking_att_dbpedia;0.9966506958007812;380;0.723878382092442
TOTALS;pagerank_ranking_att_dbpedia;0.9968166351318359;400;0.7267026642879053
TOTALS;pagerank_ranking_att_dbpedia;0.9969673156738281;420;0.7291692986164905
TOTALS;pagerank_ranking_att_dbpedia;0.9971046447753906;440;0.7313233381234456
TOTALS;pagerank_ranking_att_dbpedia;0.9972305297851562;460;0.7332083266310384
TOTALS;pagerank_ranking_att_dbpedia;0.9973468780517578;480;0.7348651923541284
TOTALS;pagerank_ranking_att_dbpedia;0.9974517822265625;500;0.7362813702803055
TOTALS;adapted_pagerank_dbpedia_aat;0.93719482421875;20;0.32631201822051187
TOTALS;adapted_pagerank_dbpedia_aat;0.9683837890625;40;0.4327943891398753
TOTALS;adapted_pagerank_dbpedia_aat;0.9788665771484375;60;0.4965553080777396
TOTALS;adapted_pagerank_dbpedia_aat;0.984130859375;80;0.5408414104953605
TOTALS;adapted_pagerank_dbpedia_aat;0.9872894287109375;100;0.5743662461223593
TOTALS;adapted_pagerank_dbpedia_aat;0.989410400390625;120;0.6012695094235463
TOTALS;adapted_pagerank_dbpedia_aat;0.9909210205078125;140;0.6232473783369884
TOTALS;adapted_pagerank_dbpedia_aat;0.9920501708984375;160;0.6414605991286226
TOTALS;adapted_pagerank_dbpedia_aat;0.9929351806640625;180;0.6568619145136503
TOTALS;adapted_pagerank_dbpedia_aat;0.9936370849609375;200;0.6697506864991634
TOTALS;adapted_pagerank_dbpedia_aat;0.9942169189453125;220;0.6807838159229027
TOTALS;adapted_pagerank_dbpedia_aat;0.9946975708007812;240;0.6901231166262213
TOTALS;adapted_pagerank_dbpedia_aat;0.9951019287109375;260;0.6980489642650863
TOTALS;adapted_pagerank_dbpedia_aat;0.995452880859375;280;0.7049191823527704
TOTALS;adapted_pagerank_dbpedia_aat;0.995758056640625;300;0.7108348079227721
TOTALS;adapted_pagerank_dbpedia_aat;0.9960212707519531;320;0.7158507735868871
TOTALS;adapted_pagerank_dbpedia_aat;0.9962539672851562;340;0.7201836684778553
TOTALS;adapted_pagerank_dbpedia_aat;0.9964637756347656;360;0.7239792587945973
TOTALS;adapted_pagerank_dbpedia_aat;0.9966506958007812;380;0.7272476655116297
TOTALS;adapted_pagerank_dbpedia_aat;0.9968166351318359;400;0.7300402810747256
TOTALS;adapted_pagerank_dbpedia_aat;0.9969673156738281;420;0.7324712841590492
TOTALS;adapted_pagerank_dbpedia_aat;0.9971046447753906;440;0.7345866630323379
TOTALS;adapted_pagerank_dbpedia_aat;0.9972305297851562;460;0.736430636893363
TOTALS;adapted_pagerank_dbpedia_aat;0.9973468780517578;480;0.7380445296716098
TOTALS;adapted_pagerank_dbpedia_aat;0.9974517822265625;500;0.7394175348280692
TOTALS;pagerank_ott_dbpedia;0.93719482421875;20;0.30777703993128674
TOTALS;pagerank_ott_dbpedia;0.9683837890625;40;0.30124012759755503
TOTALS;pagerank_ott_dbpedia;0.9788665771484375;60;0.31202753312145887
